1;MacKenzie R. Forbes;34;Adobe;Public Relations;6579.000000
5;Sierra M. Washington;56;Macromedia;Legal Department;5223.000000
11;Hedda X. Roman;43;Lycos;Public Relations;5958.000000
12;Kermit E. Hurley;54;Cakewalk;Quality Assurance;3842.000000
16;Hayes M. Becker;41;Chami;Human Resources;7028.000000
17;Katell U. Johnston;31;Chami;Customer Relations;5769.000000
20;Nissim S. Crawford;37;Google;Tech Support;8631.000000
38;Vivian O. Duffy;55;Google;Customer Service;2987.000000
51;Stephanie F. Moran;44;Adobe;Customer Service;5840.000000
82;Hunter M. Harding;58;Macromedia;Customer Relations;2695.000000
91;Dylan K. Beach;32;Lycos;Legal Department;4771.000000
94;Anjolie T. Vega;49;Lavasoft;Legal Department;2707.000000
105;Denise T. Ford;66;Chami;Research and Development;7359.000000
113;Neil K. Foster;66;Microsoft;Sales and Marketing;4117.000000
121;Denise Q. Knowles;51;Borland;Human Resources;7385.000000
127;Rowan X. Garner;18;Finale;Accounting;2967.000000
129;Ria X. Mcintyre;26;Lavasoft;Public Relations;3600.000000
131;Kristen M. Morgan;19;Apple Systems;Payroll;1734.000000
132;Aphrodite F. Kane;42;Google;Human Resources;2270.000000
133;Phoebe Y. Browning;38;Lavasoft;Quality Assurance;5213.000000
139;Gary X. Rose;50;Yahoo;Advertising;9456.000000
142;Teegan V. Burton;30;Macromedia;Sales and Marketing;5904.000000
147;Blair P. Richards;66;Lycos;Media Relations;8975.000000
150;Linda M. Ayers;50;Altavista;Asset Management;7666.000000
161;Linda U. Wiley;25;Borland;Legal Department;9976.000000
162;Kirsten E. Olsen;48;Finale;Sales and Marketing;6877.000000
172;Camilla W. Holman;18;Altavista;Tech Support;3757.000000
176;Cain G. Salas;58;Lavasoft;Advertising;5328.000000
179;Sharon A. Wilson;64;Google;Asset Management;3661.000000
184;Griffin Z. Randolph;25;Yahoo;Legal Department;7968.000000
186;Helen K. Hood;28;Lycos;Accounting;4601.000000
192;Quemby P. Shields;66;Microsoft;Advertising;8851.000000
196;Keefe K. Glass;65;Lycos;Sales and Marketing;3904.000000
204;Margaret A. Walker;33;Borland;Advertising;5777.000000
205;Rylee M. Yates;65;Macromedia;Public Relations;5346.000000
209;Slade E. Francis;56;Apple Systems;Advertising;7732.000000
211;Colton C. Mccall;33;Finale;Accounting;2859.000000
214;Rinah T. Cherry;52;Sibelius;Media Relations;9281.000000
217;Lewis X. Harrington;55;Borland;Sales and Marketing;2352.000000
218;Kasper S. Cruz;52;Altavista;Research and Development;8133.000000
221;Mechelle V. Finley;32;Yahoo;Customer Service;4934.000000
228;Jael F. Carey;63;Cakewalk;Legal Department;8190.000000
230;Tanner F. Kaufman;21;Apple Systems;Asset Management;6455.000000
232;Rhiannon O. Chang;31;Lavasoft;Payroll;7955.000000
234;Willow Y. Dale;48;Yahoo;Media Relations;5060.000000
240;Nelle F. Santos;30;Lavasoft;Payroll;9876.000000
244;Rashad C. Beach;19;Lavasoft;Quality Assurance;5862.000000
249;Hilel H. Buckley;43;Lavasoft;Finances;9784.000000
273;Stuart A. Young;38;Macromedia;Advertising;8670.000000
274;Cedric M. Knight;26;Apple Systems;Media Relations;2635.000000
276;Lysandra I. Sherman;54;Adobe;Public Relations;5951.000000
281;Mufutau P. Leblanc;51;Google;Customer Relations;7942.000000
284;Sophia I. Turner;55;Microsoft;Research and Development;9748.000000
308;Xandra R. Hensley;32;Apple Systems;Sales and Marketing;1576.000000
315;Alexander I. Haynes;60;Google;Research and Development;5531.000000
317;Marshall E. Haynes;26;Chami;Human Resources;4228.000000
327;Ulysses K. Lucas;33;Lycos;Accounting;7702.000000
342;Sylvia G. Riddle;59;Adobe;Asset Management;3990.000000
343;Patrick Y. Church;22;Google;Quality Assurance;2231.000000
349;Devin C. Noble;21;Borland;Human Resources;8783.000000
353;Amaya F. Vang;28;Finale;Tech Support;3052.000000
375;Kaitlin F. Norton;23;Chami;Finances;4151.000000
383;Zenia F. Bell;62;Borland;Asset Management;2425.000000
388;Hadassah V. Byrd;66;Chami;Customer Service;3031.000000
393;Blaine N. Craig;52;Sibelius;Sales and Marketing;5630.000000
394;Kylie L. Harding;30;Sibelius;Research and Development;1238.000000
397;Vincent S. Kemp;34;Google;Finances;1989.000000
398;Hu G. Mcintyre;24;Altavista;Payroll;3916.000000
402;TaShya E. Silva;35;Altavista;Public Relations;5005.000000
410;Steel S. Reilly;66;Microsoft;Human Resources;2097.000000
411;Madaline X. Ewing;47;Adobe;Asset Management;3512.000000
432;Ebony A. Calhoun;26;Lavasoft;Customer Relations;8553.000000
436;Karen D. Gonzales;46;Finale;Human Resources;2110.000000
438;Brock B. Gill;32;Macromedia;Payroll;8517.000000
440;Damian L. Aguilar;32;Lycos;Finances;5858.000000
442;Cassady B. Howe;22;Adobe;Asset Management;3970.000000
446;Angela U. Vaughan;23;Macromedia;Customer Relations;6313.000000
465;Keelie C. Mccarty;44;Altavista;Media Relations;5817.000000
468;Raymond E. Copeland;38;Apple Systems;Customer Relations;3260.000000
473;Carolyn T. Wooten;50;Chami;Finances;4923.000000
482;Grant O. Ellis;26;Google;Public Relations;6313.000000
483;Heidi T. Bowers;51;Finale;Asset Management;8770.000000
491;Blake T. Stone;65;Sibelius;Customer Relations;9866.000000
500;Evangeline Y. Mclaughlin;34;Apple Systems;Payroll;3347.000000
513;Xerxes M. Gates;35;Microsoft;Accounting;2897.000000
521;Joy L. Mosley;21;Altavista;Sales and Marketing;8752.000000
525;Irene L. Blankenship;34;Altavista;Sales and Marketing;7835.000000
534;Abraham I. Moss;56;Lavasoft;Research and Development;8724.000000
557;Lewis E. Hutchinson;36;Chami;Media Relations;5020.000000
558;Jarrod L. Allison;69;Altavista;Customer Relations;3102.000000
559;Curran I. Barry;36;Microsoft;Legal Department;5834.000000
565;Wynne Z. Pruitt;43;Borland;Customer Relations;3625.000000
566;Montana K. Atkinson;52;Borland;Media Relations;3437.000000
568;Kamal T. Barron;26;Macromedia;Research and Development;3453.000000
569;Hashim G. Guthrie;21;Apple Systems;Payroll;3019.000000
